Title,URL,Content,Category
Will increase interest rates if cost of funds rises: SBI Chairman,https://indianexpress.com/article/business/banking-and-finance/will-increase-interest-rates-if-cost-of-funds-rises-sbi-chairman-9038529/,"As per a recent SBI research report, the banking industry will require Rs 84,000 crore of excess capital or five per cent increase on Rs 15.2 lakh crore capital requirement following the RBI decision to tighten the risk weights on unsecured loans.",Business
Benefits of joining IPEF’s trade pillar unclear: Official,https://indianexpress.com/article/business/benefits-of-joining-ipefs-trade-pillar-unclear-official-9038522/,"The trade pillar is one of the most crucial parts of IPEF that seeks commitment on sensitive areas as agriculture, digital trade and labour and could require changes in domestic regulation.",Business
"IMF, FSB, FATF to update G20 nations, others on implementing roadmap for crypto assets, says FM",https://indianexpress.com/article/business/economy/imf-fsb-fatf-to-update-g20-nations-others-on-implementing-roadmap-for-crypto-assets-says-fm-9038521/,"“These are the initial days. You have the larger template, flag points. So you are going to be able to get the template out for nations to decide how they want to have their own legislative framework and other things. So it will be too early, maybe the early stage of Brazilian presidency will come out with a bit more clarification,” she said.",Business
"Binance’s Changpeng Zhao pleads guilty, steps down to settle US illicit finance probe",https://indianexpress.com/article/business/companies/binance-changpeng-zhao-pleads-guilty-steps-down-us-illicit-finance-probe-9037957/,"Binance broke US anti-money laundering and sanctions laws and failed to report more than 100,000 suspicious transactions with organizations the US described as terrorist groups including Hamas, al Qaeda and the Islamic State of Iraq and Syria, authorities said.",Business
Rupee falls 3 paise to close at 83.31 against US dollar,https://indianexpress.com/article/business/market/rupee-falls-3-paise-83-31-against-us-dollar-9037952/,"On the domestic equity market front, Sensex rose 92.47 points or 0.14 per cent to settle at 66,023.24 points. The Nifty advanced 28.45 points or 0.14 per cent to 19,811.85 points.",Business
"Rupee volatility low, exhibited orderly movements relative to peers: RBI Governor",https://indianexpress.com/article/business/economy/rupee-volatility-low-orderly-movements-relative-peers-rbi-governor-9037976/,"Speaking at the annual FIBAC event, Das said household inflation expectations are becoming more anchored, but added that headline inflation is vulnerable to recurring and overlapping food price shocks.",Business
DGCA slaps Rs 10 lakh penalty on Air India over non-compliance with norms on passenger facilities,https://indianexpress.com/article/business/aviation/dgca-slaps-rs-10-lakh-penalty-on-air-india-9037913/,This is the second time such an action has been taken against Air India in the past one-and-a-half years.,Business
"IT Ministry to meet social media companies over deepfakes, may share SoP on Nov 23-24",https://indianexpress.com/article/business/companies/deepfake-it-ministry-meets-social-media-companies-narendra-modi-artificial-intelligence-misinformation-9036922/,"Earlier this month, the IT Ministry had also sent advisories to social media platforms, including Facebook, Instagram and YouTube, to take down deepfakes.",Business
IPEF supply chain pact won’t impact policy space to impose export curbs: Official,https://indianexpress.com/article/business/economy/ipef-supply-chain-pact-export-restrictions-indian-supply-chain-resilience-agreement-9036923/,IPEF was launched jointly by the United States and other partner countries of the Indo-Pacific region on May 23 last year largely to counter China’s influence on trade.,Business
"G20 Leaders’ Summit: New Delhi Declaration, enhanced co-operation key focus areas",https://indianexpress.com/article/business/g20-leaders-summit-g20-sherpa-amitabh-kant-g20-new-delhi-declaration-indias-g20-presidency-9036933/,"As the New Delhi Summit had drawn to a close in September, Prime Minister Narendra Modi had proposed a virtual session in November before the end of India’s presidency – Brazil will take over the G20 presidency from December 1.",Business
